speaker,phase,predicted_emotion,count,total,share
Barack Obama,campaign,admiration,8,1500,0.005333333333333333
Barack Obama,campaign,amusement,5,1500,0.0033333333333333335
Barack Obama,campaign,anger,13,1500,0.008666666666666666
Barack Obama,campaign,annoyance,3,1500,0.002
Barack Obama,campaign,approval,83,1500,0.05533333333333333
Barack Obama,campaign,caring,463,1500,0.30866666666666664
Barack Obama,campaign,confusion,28,1500,0.018666666666666668
Barack Obama,campaign,curiosity,165,1500,0.11
Barack Obama,campaign,desire,169,1500,0.11266666666666666
Barack Obama,campaign,disappointment,30,1500,0.02
Barack Obama,campaign,disapproval,71,1500,0.04733333333333333
Barack Obama,campaign,embarrassment,2,1500,0.0013333333333333333
Barack Obama,campaign,excitement,188,1500,0.12533333333333332
Barack Obama,campaign,gratitude,43,1500,0.028666666666666667
Barack Obama,campaign,grief,1,1500,0.0006666666666666666
Barack Obama,campaign,joy,1,1500,0.0006666666666666666
Barack Obama,campaign,love,1,1500,0.0006666666666666666
Barack Obama,campaign,nervousness,11,1500,0.007333333333333333
Barack Obama,campaign,neutral,2,1500,0.0013333333333333333
Barack Obama,campaign,optimism,10,1500,0.006666666666666667
Barack Obama,campaign,pride,17,1500,0.011333333333333334
Barack Obama,campaign,realization,168,1500,0.112
Barack Obama,campaign,relief,4,1500,0.0026666666666666666
Barack Obama,campaign,remorse,4,1500,0.0026666666666666666
Barack Obama,campaign,sadness,3,1500,0.002
Barack Obama,campaign,surprise,7,1500,0.004666666666666667
Barack Obama,presidency,admiration,8,1500,0.005333333333333333
Barack Obama,presidency,amusement,1,1500,0.0006666666666666666
Barack Obama,presidency,anger,6,1500,0.004
Barack Obama,presidency,annoyance,11,1500,0.007333333333333333
Barack Obama,presidency,approval,100,1500,0.06666666666666667
Barack Obama,presidency,caring,483,1500,0.322
Barack Obama,presidency,confusion,17,1500,0.011333333333333334
Barack Obama,presidency,curiosity,115,1500,0.07666666666666666
Barack Obama,presidency,desire,184,1500,0.12266666666666666
Barack Obama,presidency,disappointment,26,1500,0.017333333333333333
Barack Obama,presidency,disapproval,62,1500,0.04133333333333333
Barack Obama,presidency,embarrassment,2,1500,0.0013333333333333333
Barack Obama,presidency,excitement,114,1500,0.076
Barack Obama,presidency,fear,5,1500,0.0033333333333333335
Barack Obama,presidency,gratitude,27,1500,0.018
Barack Obama,presidency,joy,4,1500,0.0026666666666666666
Barack Obama,presidency,love,4,1500,0.0026666666666666666
Barack Obama,presidency,nervousness,11,1500,0.007333333333333333
Barack Obama,presidency,neutral,1,1500,0.0006666666666666666
Barack Obama,presidency,optimism,26,1500,0.017333333333333333
Barack Obama,presidency,pride,15,1500,0.01
Barack Obama,presidency,realization,248,1500,0.16533333333333333
Barack Obama,presidency,relief,13,1500,0.008666666666666666
Barack Obama,presidency,remorse,1,1500,0.0006666666666666666
Barack Obama,presidency,sadness,8,1500,0.005333333333333333
Barack Obama,presidency,surprise,8,1500,0.005333333333333333
Donald Trump,campaign,admiration,40,1500,0.02666666666666667
Donald Trump,campaign,amusement,21,1500,0.014
Donald Trump,campaign,anger,83,1500,0.05533333333333333
Donald Trump,campaign,annoyance,28,1500,0.018666666666666668
Donald Trump,campaign,approval,50,1500,0.03333333333333333
Donald Trump,campaign,caring,78,1500,0.052
Donald Trump,campaign,confusion,83,1500,0.05533333333333333
Donald Trump,campaign,curiosity,111,1500,0.074
Donald Trump,campaign,desire,54,1500,0.036
Donald Trump,campaign,disappointment,129,1500,0.086
Donald Trump,campaign,disapproval,97,1500,0.06466666666666666
Donald Trump,campaign,disgust,4,1500,0.0026666666666666666
Donald Trump,campaign,embarrassment,14,1500,0.009333333333333334
Donald Trump,campaign,excitement,395,1500,0.2633333333333333
Donald Trump,campaign,fear,9,1500,0.006
Donald Trump,campaign,gratitude,164,1500,0.10933333333333334
Donald Trump,campaign,grief,1,1500,0.0006666666666666666
Donald Trump,campaign,joy,1,1500,0.0006666666666666666
Donald Trump,campaign,love,2,1500,0.0013333333333333333
Donald Trump,campaign,nervousness,5,1500,0.0033333333333333335
Donald Trump,campaign,neutral,1,1500,0.0006666666666666666
Donald Trump,campaign,optimism,14,1500,0.009333333333333334
Donald Trump,campaign,pride,6,1500,0.004
Donald Trump,campaign,realization,38,1500,0.025333333333333333
Donald Trump,campaign,relief,2,1500,0.0013333333333333333
Donald Trump,campaign,remorse,9,1500,0.006
Donald Trump,campaign,sadness,30,1500,0.02
Donald Trump,campaign,surprise,31,1500,0.020666666666666667
Donald Trump,presidency,admiration,42,1500,0.028
Donald Trump,presidency,amusement,13,1500,0.008666666666666666
Donald Trump,presidency,anger,59,1500,0.03933333333333333
Donald Trump,presidency,annoyance,17,1500,0.011333333333333334
Donald Trump,presidency,approval,43,1500,0.028666666666666667
Donald Trump,presidency,caring,110,1500,0.07333333333333333
Donald Trump,presidency,confusion,97,1500,0.06466666666666666
Donald Trump,presidency,curiosity,64,1500,0.042666666666666665
Donald Trump,presidency,desire,67,1500,0.04466666666666667
Donald Trump,presidency,disappointment,114,1500,0.076
Donald Trump,presidency,disapproval,123,1500,0.082
Donald Trump,presidency,disgust,3,1500,0.002
Donald Trump,presidency,embarrassment,18,1500,0.012
Donald Trump,presidency,excitement,388,1500,0.25866666666666666
Donald Trump,presidency,fear,3,1500,0.002
Donald Trump,presidency,gratitude,136,1500,0.09066666666666667
Donald Trump,presidency,grief,4,1500,0.0026666666666666666
Donald Trump,presidency,joy,1,1500,0.0006666666666666666
Donald Trump,presidency,love,1,1500,0.0006666666666666666
Donald Trump,presidency,nervousness,5,1500,0.0033333333333333335
Donald Trump,presidency,optimism,33,1500,0.022
Donald Trump,presidency,pride,18,1500,0.012
Donald Trump,presidency,realization,58,1500,0.03866666666666667
Donald Trump,presidency,relief,4,1500,0.0026666666666666666
Donald Trump,presidency,remorse,3,1500,0.002
Donald Trump,presidency,sadness,32,1500,0.021333333333333333
Donald Trump,presidency,surprise,44,1500,0.029333333333333333
Joe Biden,campaign,admiration,17,1500,0.011333333333333334
Joe Biden,campaign,amusement,2,1500,0.0013333333333333333
Joe Biden,campaign,anger,45,1500,0.03
Joe Biden,campaign,annoyance,18,1500,0.012
Joe Biden,campaign,approval,38,1500,0.025333333333333333
Joe Biden,campaign,caring,250,1500,0.16666666666666666
Joe Biden,campaign,confusion,66,1500,0.044
Joe Biden,campaign,curiosity,37,1500,0.024666666666666667
Joe Biden,campaign,desire,226,1500,0.15066666666666667
Joe Biden,campaign,disappointment,89,1500,0.059333333333333335
Joe Biden,campaign,disapproval,118,1500,0.07866666666666666
Joe Biden,campaign,disgust,8,1500,0.005333333333333333
Joe Biden,campaign,embarrassment,9,1500,0.006
Joe Biden,campaign,excitement,98,1500,0.06533333333333333
Joe Biden,campaign,fear,16,1500,0.010666666666666666
Joe Biden,campaign,gratitude,77,1500,0.051333333333333335
Joe Biden,campaign,grief,6,1500,0.004
Joe Biden,campaign,love,3,1500,0.002
Joe Biden,campaign,nervousness,12,1500,0.008
Joe Biden,campaign,neutral,6,1500,0.004
Joe Biden,campaign,optimism,42,1500,0.028
Joe Biden,campaign,pride,45,1500,0.03
Joe Biden,campaign,realization,203,1500,0.13533333333333333
Joe Biden,campaign,relief,4,1500,0.0026666666666666666
Joe Biden,campaign,remorse,3,1500,0.002
Joe Biden,campaign,sadness,56,1500,0.037333333333333336
Joe Biden,campaign,surprise,6,1500,0.004
Joe Biden,presidency,admiration,4,1122,0.0035650623885918
Joe Biden,presidency,anger,15,1122,0.013368983957219251
Joe Biden,presidency,annoyance,1,1122,0.00089126559714795
Joe Biden,presidency,approval,88,1122,0.0784313725490196
Joe Biden,presidency,caring,245,1122,0.21836007130124777
Joe Biden,presidency,confusion,30,1122,0.026737967914438502
Joe Biden,presidency,curiosity,18,1122,0.016042780748663103
Joe Biden,presidency,desire,211,1122,0.18805704099821746
Joe Biden,presidency,disappointment,20,1122,0.017825311942959002
Joe Biden,presidency,disapproval,52,1122,0.04634581105169341
Joe Biden,presidency,embarrassment,1,1122,0.00089126559714795
Joe Biden,presidency,excitement,50,1122,0.044563279857397504
Joe Biden,presidency,fear,6,1122,0.0053475935828877
Joe Biden,presidency,gratitude,29,1122,0.025846702317290554
Joe Biden,presidency,grief,1,1122,0.00089126559714795
Joe Biden,presidency,love,4,1122,0.0035650623885918
Joe Biden,presidency,nervousness,2,1122,0.0017825311942959
Joe Biden,presidency,neutral,2,1122,0.0017825311942959
Joe Biden,presidency,optimism,35,1122,0.031194295900178252
Joe Biden,presidency,pride,12,1122,0.0106951871657754
Joe Biden,presidency,realization,244,1122,0.21746880570409982
Joe Biden,presidency,relief,26,1122,0.023172905525846704
Joe Biden,presidency,remorse,3,1122,0.00267379679144385
Joe Biden,presidency,sadness,17,1122,0.015151515151515152
Joe Biden,presidency,surprise,6,1122,0.0053475935828877
